name,set_code,card_number,class_name,power,toughness,starting_loyalty,starting_defense,mana_value,rarity,types,subtypes,supertypes,mana_costs,rules,black,blue,green,red,white,frame_color,frame_style,various_art
"Nova Cleric","UNK","0","mage.cards.n.NovaCleric","1","2","","","1","common","CREATURE","HUMAN CLERIC","","{W}","","false","false","false","false","true","white","","false"
"Narset Transcendent","UNK","0","mage.cards.n.NarsetTranscendent","","","6","","4","common","PLANESWALKER","NARSET","","{2}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Nightkin Ambusher","UNK","0","mage.cards.n.NightkinAmbusher","4","4","","","4","common","CREATURE","MUTANT WARRIOR","","{2}{U}{B}","","true","true","false","false","false","multicolor","","false"
"Nezumi Ronin","UNK","0","mage.cards.n.NezumiRonin","3","1","","","3","common","CREATURE","RAT SAMURAI","","{2}{B}","","true","false","false","false","false","black","","false"
"Nefarious Imp","UNK","0","mage.cards.n.NefariousImp","2","1","","","3","common","CREATURE","IMP","","{2}{B}","","true","false","false","false","false","black","","false"
"Nafs Asp","UNK","0","mage.cards.n.NafsAsp","1","1","","","1","common","CREATURE","SNAKE","","{G}","","false","false","true","false","false","green","","false"
"Necron Deathmark","UNK","0","mage.cards.n.NecronDeathmark","5","3","","","5","common","ARTIFACT CREATURE","NECRON","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Nest Robber","UNK","0","mage.cards.n.NestRobber","2","1","","","2","common","CREATURE","DINOSAUR","","{1}{R}","","false","false","false","true","false","red","","false"
"Narset Parter Of Veils","UNK","0","mage.cards.n.NarsetParterOfVeils","","","5","","3","common","PLANESWALKER","NARSET","","{1}{U}{U}","","false","true","false","false","false","blue","","false"
"Nyleas Intervention","UNK","0","mage.cards.n.NyleasIntervention","","","","","3","common","SORCERY","","","{X}{G}{G}","","false","false","true","false","false","green","","false"
"North Pole Gates","UNK","0","mage.cards.n.NorthPoleGates","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Neva Stalked By Nightmares","UNK","0","mage.cards.n.NevaStalkedByNightmares","2","2","","","4","common","CREATURE","HUMAN NOBLE","","{2}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Nim Shambler","UNK","0","mage.cards.n.NimShambler","2","1","","","4","common","CREATURE","ZOMBIE","","{2}{B}{B}","","true","false","false","false","false","black","","false"
"Notorious Throng","UNK","0","mage.cards.n.NotoriousThrong","","","","","4","common","KINDRED SORCERY","ROGUE","","{3}{U}","","false","true","false","false","false","blue","","false"
"Neyam Shai Murad","UNK","0","mage.cards.n.NeyamShaiMurad","3","3","","","4","common","CREATURE","HUMAN ROGUE","","{2}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Naban Dean Of Iteration","UNK","0","mage.cards.n.NabanDeanOfIteration","2","1","","","2","common","CREATURE","HUMAN WIZARD","","{1}{U}","","false","true","false","false","false","blue","","false"
"Natural Connection","UNK","0","mage.cards.n.NaturalConnection","","","","","3","common","INSTANT","","","{2}{G}","","false","false","true","false","false","green","","false"
"Norin The Wary","UNK","0","mage.cards.n.NorinTheWary","2","1","","","1","common","CREATURE","HUMAN WARRIOR","","{R}","","false","false","false","true","false","red","","false"
"Neyith Of The Dire Hunt","UNK","0","mage.cards.n.NeyithOfTheDireHunt","3","3","","","4","common","CREATURE","HUMAN WARRIOR","","{2}{G}{G}","","false","false","true","false","false","green","","false"
"Now For Wrath Now For Ruin","UNK","0","mage.cards.n.NowForWrathNowForRuin","","","","","4","common","SORCERY","","","{3}{W}","","false","false","false","false","true","white","","false"
"Nils Discipline Enforcer","UNK","0","mage.cards.n.NilsDisciplineEnforcer","2","2","","","3","common","CREATURE","HUMAN CLERIC","","{2}{W}","","false","false","false","false","true","white","","false"
"Nyleas Colossus","UNK","0","mage.cards.n.NyleasColossus","6","6","","","7","common","ENCHANTMENT CREATURE","GIANT","","{6}{G}","","false","false","true","false","false","green","","false"
"Needletooth Pack","UNK","0","mage.cards.n.NeedletoothPack","4","5","","","5","common","CREATURE","DINOSAUR","","{3}{G}{G}","","false","false","true","false","false","green","","false"
"Naga Oracle","UNK","0","mage.cards.n.NagaOracle","2","4","","","4","common","CREATURE","SNAKE CLERIC","","{3}{U}","","false","true","false","false","false","blue","","false"
"Neutralize","UNK","0","mage.cards.n.Neutralize","","","","","3","common","INSTANT","","","{1}{U}{U}","","false","true","false","false","false","blue","","false"
"Narwhal","UNK","0","mage.cards.n.Narwhal","2","2","","","4","common","CREATURE","WHALE","","{2}{U}{U}","","false","true","false","false","false","blue","","false"
"Nightmare Incursion","UNK","0","mage.cards.n.NightmareIncursion","","","","","6","common","SORCERY","","","{5}{B}","","true","false","false","false","false","black","","false"
"Nahiris Sacrifice","UNK","0","mage.cards.n.NahirisSacrifice","","","","","2","common","SORCERY","","","{1}{R}","","false","false","false","true","false","red","","false"
"Nomad Stadium","UNK","0","mage.cards.n.NomadStadium","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Natures Claim","UNK","0","mage.cards.n.NaturesClaim","","","","","1","common","INSTANT","","","{G}","","false","false","true","false","false","green","","false"
"Neera Wild Mage","UNK","0","mage.cards.n.NeeraWildMage","2","7","","","6","common","CREATURE","HUMAN ELF SHAMAN","","{4}{U}{R}","","false","true","false","true","false","multicolor","","false"
"Needlethorn Drake","UNK","0","mage.cards.n.NeedlethornDrake","1","1","","","2","common","CREATURE","DRAKE","","{G}{U}","","false","true","true","false","false","multicolor","","false"
"Novellamental","UNK","0","mage.cards.n.Novellamental","2","1","","","2","common","CREATURE","ELEMENTAL","","{1}{U}","","false","true","false","false","false","blue","","false"
"Nightshade Peddler","UNK","0","mage.cards.n.NightshadePeddler","1","1","","","2","common","CREATURE","HUMAN DRUID","","{1}{G}","","false","false","true","false","false","green","","false"
"Novice Occultist","UNK","0","mage.cards.n.NoviceOccultist","1","2","","","2","common","CREATURE","HUMAN WIZARD","","{1}{B}","","true","false","false","false","false","black","","false"
"Nyleas Emissary","UNK","0","mage.cards.n.NyleasEmissary","3","3","","","4","common","ENCHANTMENT CREATURE","CAT","","{3}{G}","","false","false","true","false","false","green","","false"
"Nest Of Scarabs","UNK","0","mage.cards.n.NestOfScarabs","","","","","3","common","ENCHANTMENT","","","{2}{B}","","true","false","false","false","false","black","","false"
"Necrogen Communion","UNK","0","mage.cards.n.NecrogenCommunion","","","","","2","common","ENCHANTMENT","AURA","","{1}{B}","","true","false","false","false","false","black","","false"
"Nurturing Pixie","UNK","0","mage.cards.n.NurturingPixie","1","1","","","1","common","CREATURE","FAERIE ROGUE","","{W}","","false","false","false","false","true","white","","false"
"Noxious Ghoul","UNK","0","mage.cards.n.NoxiousGhoul","3","3","","","5","common","CREATURE","ZOMBIE","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Nantuko Shade","UNK","0","mage.cards.n.NantukoShade","2","1","","","2","common","CREATURE","INSECT SHADE","","{B}{B}","","true","false","false","false","false","black","","false"
"Nanogene Conversion","UNK","0","mage.cards.n.NanogeneConversion","","","","","4","common","SORCERY","","","{3}{U}","","false","true","false","false","false","blue","","false"
"Nine Tail White Fox","UNK","0","mage.cards.n.NineTailWhiteFox","2","2","","","3","common","CREATURE","FOX SPIRIT","","{2}{U}","","false","true","false","false","false","blue","","false"
"Nettling Nuisance","UNK","0","mage.cards.n.NettlingNuisance","3","1","","","3","common","CREATURE","FAERIE ROGUE","","{2}{B}","","true","false","false","false","false","black","","false"
"Nissas Revelation","UNK","0","mage.cards.n.NissasRevelation","","","","","7","common","SORCERY","","","{5}{G}{G}","","false","false","true","false","false","green","","false"
"Night Market Aeronaut","UNK","0","mage.cards.n.NightMarketAeronaut","2","2","","","4","common","CREATURE","AETHERBORN WARRIOR","","{3}{B}","","true","false","false","false","false","black","","false"
"Netherborn Phalanx","UNK","0","mage.cards.n.NetherbornPhalanx","2","4","","","6","common","CREATURE","HORROR","","{5}{B}","","true","false","false","false","false","black","","false"
"Nyxborn Shieldmate","UNK","0","mage.cards.n.NyxbornShieldmate","1","2","","","1","common","ENCHANTMENT CREATURE","HUMAN SOLDIER","","{W}","","false","false","false","false","true","white","","false"
"Norman Osborn","UNK","0","mage.cards.n.NormanOsborn","","","","","0","common","CREATURE","","","","","false","false","false","false","false","colorless","","false"
"Nissas Defeat","UNK","0","mage.cards.n.NissasDefeat","","","","","3","common","SORCERY","","","{2}{G}","","false","false","true","false","false","green","","false"
"Nissas Encouragement","UNK","0","mage.cards.n.NissasEncouragement","","","","","5","common","SORCERY","","","{4}{G}","","false","false","true","false","false","green","","false"
"Nettling Curse","UNK","0","mage.cards.n.NettlingCurse","","","","","3","common","ENCHANTMENT","AURA","","{2}{B}","","true","false","false","false","false","black","","false"
"Nyleas Presence","UNK","0","mage.cards.n.NyleasPresence","","","","","2","common","ENCHANTMENT","AURA","","{1}{G}","","false","false","true","false","false","green","","false"
"Nested Shambler","UNK","0","mage.cards.n.NestedShambler","1","1","","","1","common","CREATURE","ZOMBIE","","{B}","","true","false","false","false","false","black","","false"
"Necrogen Spellbomb","UNK","0","mage.cards.n.NecrogenSpellbomb","","","","","1","common","ARTIFACT","","","{1}","","false","false","false","false","false","colorless","","false"
"Nemata Primeval Warden","UNK","0","mage.cards.n.NemataPrimevalWarden","3","4","","","4","common","CREATURE","TREEFOLK","","{2}{B}{G}","","true","false","true","false","false","multicolor","","false"
"Nessian Boar","UNK","0","mage.cards.n.NessianBoar","10","6","","","5","common","CREATURE","BOAR","","{3}{G}{G}","","false","false","true","false","false","green","","false"
"Nurgles Rot","UNK","0","mage.cards.n.NurglesRot","","","","","1","common","ENCHANTMENT","AURA","","{B}","","true","false","false","false","false","black","","false"
"Nix","UNK","0","mage.cards.n.Nix","","","","","1","common","INSTANT","","","{U}","","false","true","false","false","false","blue","","false"
"Nivix Guildmage","UNK","0","mage.cards.n.NivixGuildmage","2","2","","","2","common","CREATURE","HUMAN WIZARD","","{U}{R}","","false","true","false","true","false","multicolor","","false"
"Neutralize The Guards","UNK","0","mage.cards.n.NeutralizeTheGuards","","","","","3","common","INSTANT","","","{2}{B}","","true","false","false","false","false","black","","false"
"Necroduality","UNK","0","mage.cards.n.Necroduality","","","","","4","common","ENCHANTMENT","","","{3}{U}","","false","true","false","false","false","blue","","false"
"Necromaster Dragon","UNK","0","mage.cards.n.NecromasterDragon","4","4","","","5","common","CREATURE","DRAGON","","{3}{U}{B}","","true","true","false","false","false","multicolor","","false"
"Nesting Dragon","UNK","0","mage.cards.n.NestingDragon","5","4","","","5","common","CREATURE","DRAGON","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Nova Pentacle","UNK","0","mage.cards.n.NovaPentacle","","","","","4","common","ARTIFACT","","","{4}","","false","false","false","false","false","colorless","","false"
"Naya Soulbeast","UNK","0","mage.cards.n.NayaSoulbeast","0","0","","","8","common","CREATURE","BEAST","","{6}{G}{G}","","false","false","true","false","false","green","","false"
"Night Soil","UNK","0","mage.cards.n.NightSoil","","","","","2","common","ENCHANTMENT","","","{G}{G}","","false","false","true","false","false","green","","false"
"Nullmage Advocate","UNK","0","mage.cards.n.NullmageAdvocate","2","3","","","3","common","CREATURE","INSECT DRUID","","{2}{G}","","false","false","true","false","false","green","","false"
"Neverwinter Dryad","UNK","0","mage.cards.n.NeverwinterDryad","1","1","","","1","common","CREATURE","DRYAD","","{G}","","false","false","true","false","false","green","","false"
"Nahiris Machinations","UNK","0","mage.cards.n.NahirisMachinations","","","","","2","common","ENCHANTMENT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Ninja Of The New Moon","UNK","0","mage.cards.n.NinjaOfTheNewMoon","6","3","","","5","common","CREATURE","SPIRIT NINJA","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Noxious Revival","UNK","0","mage.cards.n.NoxiousRevival","","","","","1","common","INSTANT","","","{G/P}","","false","false","true","false","false","green","","false"
"Nogi Draco Zealot","UNK","0","mage.cards.n.NogiDracoZealot","3","3","","","3","common","CREATURE","","","{1}{R}{R}","","false","false","false","true","false","red","","false"
"Nexos","UNK","0","mage.cards.n.Nexos","2","2","","","2","common","CREATURE","HUMAN TYRANID ADVISOR","","{1}{G}","","false","false","true","false","false","green","","false"
"Nykthos Paragon","UNK","0","mage.cards.n.NykthosParagon","4","6","","","6","common","ENCHANTMENT CREATURE","HUMAN SOLDIER","","{4}{W}{W}","","false","false","false","false","true","white","","false"
"Necrotic Hex","UNK","0","mage.cards.n.NecroticHex","","","","","7","common","SORCERY","","","{6}{B}","","true","false","false","false","false","black","","false"
"Necropanther","UNK","0","mage.cards.n.Necropanther","3","3","","","3","common","CREATURE","CAT NIGHTMARE","","{1}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Navigators Compass","UNK","0","mage.cards.n.NavigatorsCompass","","","","","1","common","ARTIFACT","","","{1}","","false","false","false","false","false","colorless","","false"
"Nerf Herder","UNK","0","mage.cards.n.NerfHerder","2","3","","","3","common","CREATURE","HUMAN","","{2}{G}","","false","false","true","false","false","green","","false"
"Nullify","UNK","0","mage.cards.n.Nullify","","","","","2","common","INSTANT","","","{U}{U}","","false","true","false","false","false","blue","","false"
"Nissa Vital Force","UNK","0","mage.cards.n.NissaVitalForce","5","5","5","","5","common","PLANESWALKER","NISSA ELEMENTAL","","{3}{G}{G}","","false","false","true","false","false","green","","false"
"Nazgul Battle Mace","UNK","0","mage.cards.n.NazgulBattleMace","","","","","5","common","ARTIFACT","EQUIPMENT","","{5}","","false","false","false","false","false","colorless","","false"
"Nantuko Monastery","UNK","0","mage.cards.n.NantukoMonastery","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Noxious Assault","UNK","0","mage.cards.n.NoxiousAssault","","","","","5","common","SORCERY","","","{3}{G}{G}","","false","false","true","false","false","green","","false"
"Nightwind Glider","UNK","0","mage.cards.n.NightwindGlider","2","1","","","3","common","CREATURE","HUMAN REBEL","","{2}{W}","","false","false","false","false","true","white","","false"
"Necron Overlord","UNK","0","mage.cards.n.NecronOverlord","2","5","","","4","common","ARTIFACT CREATURE","NECRON NOBLE","","{2}{B}{B}","","true","false","false","false","false","black","","false"
"New Perspectives","UNK","0","mage.cards.n.NewPerspectives","","","","","6","common","ENCHANTMENT","","","{5}{U}","","false","true","false","false","false","blue","","false"
"Naked Singularity","UNK","0","mage.cards.n.NakedSingularity","","","","","5","common","ARTIFACT","","","{5}","","false","false","false","false","false","colorless","","false"
"Naya Charm","UNK","0","mage.cards.n.NayaCharm","","","","","3","common","INSTANT","","","{R}{G}{W}","","false","false","true","true","true","multicolor","","false"
"Narsets Reversal","UNK","0","mage.cards.n.NarsetsReversal","","","","","2","common","INSTANT","","","{U}{U}","","false","true","false","false","false","blue","","false"
"Nyx Infusion","UNK","0","mage.cards.n.NyxInfusion","","","","","3","common","ENCHANTMENT","AURA","","{2}{B}","","true","false","false","false","false","black","","false"
"Nikara Lair Scavenger","UNK","0","mage.cards.n.NikaraLairScavenger","2","2","","","3","common","CREATURE","HUMAN CLERIC","","{2}{B}","","true","false","false","false","false","black","","false"
"Nissa Natures Artisan","UNK","0","mage.cards.n.NissaNaturesArtisan","","","5","","6","common","PLANESWALKER","NISSA","","{4}{G}{G}","","false","false","true","false","false","green","","false"
"Noxious Grasp","UNK","0","mage.cards.n.NoxiousGrasp","","","","","2","common","INSTANT","","","{1}{B}","","true","false","false","false","false","black","","false"
"Non Human Cannonball","UNK","0","mage.cards.n.NonHumanCannonball","4","3","","","3","common","ARTIFACT CREATURE","CLOWN ROBOT","","{2}{R}","","false","false","false","true","false","red","","false"
"Nalathni Dragon","UNK","0","mage.cards.n.NalathniDragon","1","1","","","4","common","CREATURE","DRAGON","","{2}{R}{R}","","false","false","false","true","false","red","","false"
"Nicol Bolas Dragon God","UNK","0","mage.cards.n.NicolBolasDragonGod","","","4","","5","common","PLANESWALKER","BOLAS","","{U}{B}{B}{B}{R}","","true","true","false","true","false","multicolor","","false"
"Ninth Bridge Patrol","UNK","0","mage.cards.n.NinthBridgePatrol","1","1","","","2","common","CREATURE","DWARF SOLDIER","","{1}{W}","","false","false","false","false","true","white","","false"
"Nimble Hobbit","UNK","0","mage.cards.n.NimbleHobbit","1","3","","","2","common","CREATURE","HALFLING PEASANT","","{1}{W}","","false","false","false","false","true","white","","false"
"Nurturing Licid","UNK","0","mage.cards.n.NurturingLicid","1","1","","","2","common","CREATURE","LICID","","{1}{G}","","false","false","true","false","false","green","","false"
"Nemata Grove Guardian","UNK","0","mage.cards.n.NemataGroveGuardian","4","5","","","6","common","CREATURE","TREEFOLK","","{4}{G}{G}","","false","false","true","false","false","green","","false"
"Gusthas Scepter","UNK","0","mage.cards.g.GusthasScepter","","","","","0","common","ARTIFACT","","","{0}","","false","false","false","false","false","colorless","","false"
"Genesis Of The Daleks","UNK","0","mage.cards.g.GenesisOfTheDaleks","","","","","6","common","ENCHANTMENT","SAGA","","{4}{B}{B}","","true","false","false","false","false","black","","false"
"Ghost Warden","UNK","0","mage.cards.g.GhostWarden","1","1","","","2","common","CREATURE","SPIRIT","","{1}{W}","","false","false","false","false","true","white","","false"
"Graveyard Shift","UNK","0","mage.cards.g.GraveyardShift","","","","","5","common","SORCERY","","","{4}{B}","","true","false","false","false","false","black","","false"
"Gloomwidows Feast","UNK","0","mage.cards.g.GloomwidowsFeast","","","","","4","common","INSTANT","","","{3}{G}","","false","false","true","false","false","green","","false"
"Goblin Firestarter","UNK","0","mage.cards.g.GoblinFirestarter","1","1","","","1","common","CREATURE","GOBLIN","","{R}","","false","false","false","true","false","red","","false"
"Giant Strength","UNK","0","mage.cards.g.GiantStrength","","","","","2","common","ENCHANTMENT","AURA","","{R}{R}","","false","false","false","true","false","red","","false"
"Grim Captains Call","UNK","0","mage.cards.g.GrimCaptainsCall","","","","","3","common","SORCERY","","","{2}{B}","","true","false","false","false","false","black","","false"
"Groundswell","UNK","0","mage.cards.g.Groundswell","","","","","1","common","INSTANT","","","{G}","","false","false","true","false","false","green","","false"
"Grixis Illusionist","UNK","0","mage.cards.g.GrixisIllusionist","1","1","","","1","common","CREATURE","HUMAN WIZARD","","{U}","","false","true","false","false","false","blue","","false"
"Glorious End","UNK","0","mage.cards.g.GloriousEnd","","","","","3","common","INSTANT","","","{2}{R}","","false","false","false","true","false","red","","false"
"Goring Warplow","UNK","0","mage.cards.g.GoringWarplow","5","4","","","6","common","ARTIFACT CREATURE","CONSTRUCT","","{6}","","false","false","false","false","false","colorless","","false"
"Gluttonous Slug","UNK","0","mage.cards.g.GluttonousSlug","0","3","","","2","common","CREATURE","SLUG HORROR","","{1}{B}","","true","false","false","false","false","black","","false"
"Glittering Massif","UNK","0","mage.cards.g.GlitteringMassif","","","","","0","common","LAND","MOUNTAIN PLAINS","","","","false","false","false","false","false","colorless","","false"
"Grip Of Amnesia","UNK","0","mage.cards.g.GripOfAmnesia","","","","","2","common","INSTANT","","","{1}{U}","","false","true","false","false","false","blue","","false"
"Greater Auramancy","UNK","0","mage.cards.g.GreaterAuramancy","","","","","2","common","ENCHANTMENT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Gideon Champion Of Justice","UNK","0","mage.cards.g.GideonChampionOfJustice","","","4","","4","common","PLANESWALKER","GIDEON","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"Gleaming Overseer","UNK","0","mage.cards.g.GleamingOverseer","1","4","","","3","common","CREATURE","ZOMBIE WIZARD","","{1}{U}{B}","","true","true","false","false","false","multicolor","","false"
"Gremlin Infestation","UNK","0","mage.cards.g.GremlinInfestation","","","","","4","common","ENCHANTMENT","AURA","","{3}{R}","","false","false","false","true","false","red","","false"
"Green Ward","UNK","0","mage.cards.g.GreenWard","","","","","1","common","ENCHANTMENT","AURA","","{W}","","false","false","false","false","true","white","","false"
"Gutless Plunderer","UNK","0","mage.cards.g.GutlessPlunderer","2","2","","","3","common","CREATURE","SKELETON PIRATE","","{2}{B}","","true","false","false","false","false","black","","false"
"Goblin Diplomats","UNK","0","mage.cards.g.GoblinDiplomats","2","1","","","2","common","CREATURE","GOBLIN","","{1}{R}","","false","false","false","true","false","red","","false"
"Goreclaw Terror Of Qal Sisma","UNK","0","mage.cards.g.GoreclawTerrorOfQalSisma","4","3","","","4","common","CREATURE","BEAR","","{3}{G}","","false","false","true","false","false","green","","false"
"Go Shintai Of Lifes Origin","UNK","0","mage.cards.g.GoShintaiOfLifesOrigin","3","4","","","4","common","ENCHANTMENT CREATURE","SHRINE","","{3}{G}","","false","false","true","false","false","green","","false"
"Goldwardens Helm","UNK","0","mage.cards.g.GoldwardensHelm","","","","","3","common","ARTIFACT","EQUIPMENT","","{2}{W}","","false","false","false","false","true","white","","false"
"Guardian Lions","UNK","0","mage.cards.g.GuardianLions","1","6","","","5","common","CREATURE","CAT","","{4}{W}","","false","false","false","false","true","white","","false"
"Guardian Of The Great Conduit","UNK","0","mage.cards.g.GuardianOfTheGreatConduit","2","4","","","4","common","CREATURE","ELEMENTAL","","{3}{G}","","false","false","true","false","false","green","","false"
"Guardian Of New Benalia","UNK","0","mage.cards.g.GuardianOfNewBenalia","2","2","","","2","common","CREATURE","HUMAN SOLDIER","","{1}{W}","","false","false","false","false","true","white","","false"
"Godsire","UNK","0","mage.cards.g.Godsire","8","8","","","8","common","CREATURE","BEAST","","{4}{R}{G}{G}{W}","","false","false","true","true","true","multicolor","","false"
"Golgari Raiders","UNK","0","mage.cards.g.GolgariRaiders","0","0","","","4","common","CREATURE","ELF WARRIOR","","{3}{G}","","false","false","true","false","false","green","","false"
"Ghost Lit Redeemer","UNK","0","mage.cards.g.GhostLitRedeemer","1","1","","","1","common","CREATURE","SPIRIT","","{W}","","false","false","false","false","true","white","","false"
"Gryff Vanguard","UNK","0","mage.cards.g.GryffVanguard","3","2","","","5","common","CREATURE","HUMAN KNIGHT","","{4}{U}","","false","true","false","false","false","blue","","false"
"Giant Inheritance","UNK","0","mage.cards.g.GiantInheritance","","","","","5","common","ENCHANTMENT","AURA","","{4}{G}","","false","false","true","false","false","green","","false"
"Gemini Engine","UNK","0","mage.cards.g.GeminiEngine","3","4","","","6","common","ARTIFACT CREATURE","CONSTRUCT","","{6}","","false","false","false","false","false","colorless","","false"
"Gluttonous Slime","UNK","0","mage.cards.g.GluttonousSlime","2","2","","","3","common","CREATURE","OOZE","","{2}{G}","","false","false","true","false","false","green","","false"
"Grotag Siege Runner","UNK","0","mage.cards.g.GrotagSiegeRunner","2","1","","","2","common","CREATURE","GOBLIN ROGUE","","{1}{R}","","false","false","false","true","false","red","","false"
"Garruk Cursed Huntsman","UNK","0","mage.cards.g.GarrukCursedHuntsman","","","5","","6","common","PLANESWALKER","GARRUK","","{4}{B}{G}","","true","false","true","false","false","multicolor","","false"
"Grasp Of The Hieromancer","UNK","0","mage.cards.g.GraspOfTheHieromancer","","","","","2","common","ENCHANTMENT","AURA","","{1}{W}","","false","false","false","false","true","white","","false"
"Gobland","UNK","0","mage.cards.g.Gobland","2","1","","","0","common","LAND CREATURE","","","","","false","false","false","false","false","colorless","","false"
"Goldspan Dragon","UNK","0","mage.cards.g.GoldspanDragon","4","4","","","5","common","CREATURE","DRAGON","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Giant Ambush Beetle","UNK","0","mage.cards.g.GiantAmbushBeetle","4","3","","","6","common","CREATURE","INSECT","","{3}{B/G}{R}","","true","false","true","true","false","multicolor","","false"
"Greymond Avacyns Stalwart","UNK","0","mage.cards.g.GreymondAvacynsStalwart","3","4","","","4","common","CREATURE","HUMAN SOLDIER","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"Goblin Goon","UNK","0","mage.cards.g.GoblinGoon","6","6","","","4","common","CREATURE","GOBLIN MUTANT","","{3}{R}","","false","false","false","true","false","red","","false"
"Glimmerlight","UNK","0","mage.cards.g.Glimmerlight","","","","","2","common","ARTIFACT","EQUIPMENT","","{2}","","false","false","false","false","false","colorless","","false"
"Goblin Warrens","UNK","0","mage.cards.g.GoblinWarrens","","","","","3","common","ENCHANTMENT","","","{2}{R}","","false","false","false","true","false","red","","false"
"Garruk Savage Herald","UNK","0","mage.cards.g.GarrukSavageHerald","","","5","","6","common","PLANESWALKER","GARRUK","","{4}{G}{G}","","false","false","true","false","false","green","","false"
"Glitterfang","UNK","0","mage.cards.g.Glitterfang","1","1","","","1","common","CREATURE","SPIRIT","","{R}","","false","false","false","true","false","red","","false"
"Gaeas Might","UNK","0","mage.cards.g.GaeasMight","","","","","1","common","INSTANT","","","{G}","","false","false","true","false","false","green","","false"
"Genesis Hydra","UNK","0","mage.cards.g.GenesisHydra","0","0","","","3","common","CREATURE","PLANT HYDRA","","{X}{G}{G}","","false","false","true","false","false","green","","false"
"Goblin Tomb Raider","UNK","0","mage.cards.g.GoblinTombRaider","1","2","","","1","common","CREATURE","GOBLIN PIRATE","","{R}","","false","false","false","true","false","red","","false"
"Graham O Brien","UNK","0","mage.cards.g.GrahamOBrien","2","2","","","2","common","CREATURE","HUMAN PILOT","","{1}{G}","","false","false","true","false","false","green","","false"
"Guiding Voice","UNK","0","mage.cards.g.GuidingVoice","","","","","1","common","SORCERY","","","{W}","","false","false","false","false","true","white","","false"
"Gifted Aetherborn","UNK","0","mage.cards.g.GiftedAetherborn","2","3","","","2","common","CREATURE","AETHERBORN VAMPIRE","","{B}{B}","","true","false","false","false","false","black","","false"
"Giant Albatross","UNK","0","mage.cards.g.GiantAlbatross","1","1","","","2","common","CREATURE","BIRD","","{1}{U}","","false","true","false","false","false","blue","","false"
"Ghost Vacuum","UNK","0","mage.cards.g.GhostVacuum","","","","","1","common","ARTIFACT","","","{1}","","false","false","false","false","false","colorless","","false"
"Gavony Silversmith","UNK","0","mage.cards.g.GavonySilversmith","2","3","","","4","common","CREATURE","HUMAN SOLDIER","","{3}{W}","","false","false","false","false","true","white","","false"
"Great Whale","UNK","0","mage.cards.g.GreatWhale","5","5","","","7","common","CREATURE","WHALE","","{5}{U}{U}","","false","true","false","false","false","blue","","false"
"Grave Scrabbler","UNK","0","mage.cards.g.GraveScrabbler","2","2","","","4","common","CREATURE","ZOMBIE","","{3}{B}","","true","false","false","false","false","black","","false"
"Gysahl Greens","UNK","0","mage.cards.g.GysahlGreens","","","","","2","common","SORCERY","","","{1}{G}","","false","false","true","false","false","green","","false"
"Gadwicks First Duel","UNK","0","mage.cards.g.GadwicksFirstDuel","","","","","2","common","ENCHANTMENT","SAGA","","{1}{U}","","false","true","false","false","false","blue","","false"
"Goblin Shortcutter","UNK","0","mage.cards.g.GoblinShortcutter","2","1","","","2","common","CREATURE","GOBLIN SCOUT","","{1}{R}","","false","false","false","true","false","red","","false"
"Glimpse Of Nature","UNK","0","mage.cards.g.GlimpseOfNature","","","","","1","common","SORCERY","","","{G}","","false","false","true","false","false","green","","false"
"Glacial Revelation","UNK","0","mage.cards.g.GlacialRevelation","","","","","3","common","SORCERY","","","{2}{G}","","false","false","true","false","false","green","","false"
"Griffnaut Tracker","UNK","0","mage.cards.g.GriffnautTracker","3","2","","","4","common","CREATURE","HUMAN DETECTIVE","","{3}{W}","","false","false","false","false","true","white","","false"
"Glaive Of The Guildpact","UNK","0","mage.cards.g.GlaiveOfTheGuildpact","","","","","2","common","ARTIFACT","EQUIPMENT","","{2}","","false","false","false","false","false","colorless","","false"
"Gauntlets Of Light","UNK","0","mage.cards.g.GauntletsOfLight","","","","","3","common","ENCHANTMENT","AURA","","{2}{W}","","false","false","false","false","true","white","","false"
"Gather Courage","UNK","0","mage.cards.g.GatherCourage","","","","","1","common","INSTANT","","","{G}","","false","false","true","false","false","green","","false"
"Golden Tail Disciple","UNK","0","mage.cards.g.GoldenTailDisciple","2","3","","","3","common","ENCHANTMENT CREATURE","FOX MONK","","{2}{W}","","false","false","false","false","true","white","","false"
